Lfd.-Nr.:;Ortsteil;Straße;örtlicher_Bezug;Hausnr;Hausnr_Zusatz;Baum_Nr;Sorte botanisch;Sorte deutsch;Hochwert;Rechtswert;Pflanzjahr;Standalter;Stammanzahl;Stammumfang;Stammdurchmesser
20;Kreuzberg;Falckensteinstraße;h 27;;;34;34 Quercus frainetto (aktiv);Ungarische Eiche;5817476.769;394169.7152;2019;1;0;;
21;Kreuzberg;Falckensteinstraße;h 36;;;47;47 Quercus frainetto (aktiv);Ungarische Eiche;5817641.084;394275.7012;2019;1;0;;
22;Kreuzberg;Falckensteinstraße;h 38;;;50;50 Quercus frainetto (aktiv);Ungarische Eiche;5817670;394297;2019;1;0;;
23;Kreuzberg;Forster Straße;hnr.40/1;;;43;43 Sophora japonica (aktiv);Japanischer Schnurbaum;5817122.143;393548.4143;;;0;;
24;Kreuzberg;Franz-Klühs-Straße;;;;6;6 Quercus rubra (aktiv);Amerikanische Rot-Eiche;;;2019;1;1;;
25;Kreuzberg;Franz-Künstler-Straße;hnr.1/1 ecke alexandrienenstrasse;;;1;1 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5818099.94;391547.5974;2019;1;0;;
26;Kreuzberg;Fürbringerstraße;h 25;;;27;27 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5817098.707;391127.6523;2019;1;0;19;6
27;Kreuzberg;Geibelstraße;Ecke Wilmsstr;;;1;1 Sorbus spec. (aktiv);Eberesche. Mehlbeere;5817260;391825;;;0;19;6
28;Kreuzberg;Geibelstraße;ggü Nr 6;;;12;12 Sorbus spec. (aktiv);Eberesche. Mehlbeere;5817158.907;391793.6396;2019;1;0;20;6
29;Kreuzberg;Glogauer Straße;h 13;;;5;5 Quercus spec. (aktiv);Eiche;5816978.464;393847.4537;;;0;;
30;Kreuzberg;Glogauer Straße;h 13;;;6;6 Quercus spec. (aktiv);Eiche;5816969.276;393841.5835;;;0;16;5
31;Kreuzberg;Gneisenaustraße;h 57;;;110;110 Corylus colurna (aktiv);Baum-Hasel;5816708.608;391673.9021;2019;1;0;20;6
32;Kreuzberg;Gneisenaustraße;h 64;;;120;120 Corylus colurna (aktiv);Baum-Hasel;5816753.517;391551.5851;2013;7;1;35;11
33;Kreuzberg;Gneisenaustraße;h 113;;;196;196 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;5817082.378;390618.9079;2013;7;1;29;9
34;Kreuzberg;Gneisenaustraße;ggue 33;;;238;238 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;5816848.828;391180.6936;2013;7;1;28;9
35;Kreuzberg;Gneisenaustraße;m geg h 81;;;311;311 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;5816864.912;391191.7506;2013;7;1;27;9
36;Kreuzberg;Görlitzer Straße;hnr.58/1;;;130;130 Sophora japonica (aktiv);Japanischer Schnurbaum;5817533.86;393929.2551;2019;1;0;;
37;Kreuzberg;Großbeerenstraße;haus 75;75;;106;106 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;;;2019;1;0;20;6
38;Kreuzberg;Großbeerenstraße;haus 75;75;;106;106 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;;;2019;1;0;20;6
39;Kreuzberg;Großbeerenstraße;h 81;;;114;114 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;5817597.633;390362.9269;2019;1;0;;
40;Kreuzberg;Großbeerenstraße;ggü 94;;;5;5 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;5817932.437;390424.0594;2019;1;0;20;6
41;Kreuzberg;Großbeerenstraße;ggü 94;;;5;5 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;5817932.437;390424.0594;2019;1;0;20;6
42;Kreuzberg;Hasenheide;h 24;;;28;28 Aesculus spec. (aktiv);Rosskastanie;5816475.918;392558.4429;2019;1;0;19;6
43;Kreuzberg;Hasenheide;h 56;;;70;70 Aesculus spec. (aktiv);Rosskastanie;5816610.542;391994.1269;;;0;19;6
44;Kreuzberg;Kohlfurter Straße;vor Schule;;;10;10 Sophora japonica (aktiv);Japanischer Schnurbaum;5817531.053;392469.1391;2013;7;1;35;11
45;Kreuzberg;Kohlfurter Straße;vor Schule;;;11;11 Sophora japonica (aktiv);Japanischer Schnurbaum;5817527.742;392476.2725;2013;7;1;31;10
46;Kreuzberg;Kohlfurter Straße;vor Schule;;;8;8 Sophora japonica (aktiv);Japanischer Schnurbaum;5817537.679;392454.5553;2013;7;1;47;15
47;Kreuzberg;Kohlfurter Straße;vor Schule;;;9;9 Sophora japonica (aktiv);Japanischer Schnurbaum;5817534.477;392461.5848;2013;7;1;47;15
48;Kreuzberg;Köpenicker Straße;h 190;;;137;137 Quercus frainetto (aktiv);Ungarische Eiche;5817996.238;394136.3359;2019;1;0;;
49;Kreuzberg;Köpenicker Straße;h 16;;;43;43 Quercus frainetto (aktiv);Ungarische Eiche;5818354.925;393715.0994;2019;1;0;;
50;Kreuzberg;Köpenicker Straße;h 16;;;45;45 Quercus frainetto (aktiv);Ungarische Eiche;5818378.29;393682.8707;2019;1;0;;
51;Kreuzberg;Körtestraße;Grünfläche am Südstern;;;32;32 Malus spec. (aktiv);Apfel;5816682.716;391896.2326;2013;7;1;26;8
52;Kreuzberg;Körtestraße;Grünfläche am Südstern;;;34;34 Prunus padus (aktiv);Trauben-Kirsche;5816688.396;391903.616;2013;7;1;26;8
53;Kreuzberg;Körtestraße;h 12;;;6;6 Sorbus intermedia 'Brouwers' (aktiv);Schwedische Mehlbeere;5816853.728;392124.3882;2013;7;1;23;7
54;Kreuzberg;Kottbusser Damm;h 10;;;13;13 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5817109.524;392836.2249;2019;1;0;19;6
55;Kreuzberg;Kottbusser Damm;haus nr 24;;;24;24 Acer spec. (aktiv);Ahorn;5816699.588;392982.2451;2019;1;0;;
56;Kreuzberg;Kottbusser Damm;h 75;;;52;52 Acer spec. (aktiv);Ahorn;5816779.127;392979.823;2019;1;0;20;6
57;Kreuzberg;Kottbusser Damm;h 79;;;56;56 Acer spec. (aktiv);Ahorn;5816863.516;392949.5215;2019;1;0;19;6
58;Kreuzberg;Kottbusser Damm;Ecke Bürknerstr;;;63;63 Acer spec. (aktiv);Ahorn;5817022.228;392892.3789;2019;1;0;20;6
59;Kreuzberg;Kottbusser Straße;;13;;22;22 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;;;2019;1;0;;
60;Kreuzberg;Kottbusser Straße;vor commerzbank;;;6;6 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5817649.289;392636.342;2019;1;;;
61;Kreuzberg;Mehringdamm;h 85 im beet;;;150;150 Prunus mahaleb (aktiv);Felsen-Kirsche;;;2019;1;1;25;8
62;Kreuzberg;Mehringdamm;h 57 im beet;;;174;174 Sorbus spec. (aktiv);Eberesche. Mehlbeere;;;2019;1;1;22;7
63;Kreuzberg;Mehringdamm;h 41 im beet;;;186;186 Crataegus monogyna 'Stricta' (aktiv);Säulen-Weiss-Dorn;5817015.755;390533.8555;1972;48;1;23;7
64;Kreuzberg;Mehringdamm;haus 64;;;51;51 Gleditsia triacanthos 'Skyline' (aktiv);Gleditschie 'Skyline';;;2019;1;1;23;7
65;Kreuzberg;Mehringdamm;haus 126;;;94;94 Gleditsia triacanthos 'Skyline' (aktiv);Gleditschie 'Skyline';;;2019;1;0;;
66;Kreuzberg;Mehringdamm;haus 128;;;95;95 Sorbus spec. (aktiv);Eberesche. Mehlbeere;;;2019;1;0;23;7
67;Kreuzberg;Mittenwalder Straße;h 52;;;52;52 Crataegus monogyna 'Stricta' (aktiv);Säulen-Weiss-Dorn;5817119.915;391176.8677;2019;1;0;18;6
68;Kreuzberg;Möckernstraße;Ecke Hagelberger Str.;;;117;117 Quercus cerris (aktiv);Zerr-Eiche;5816944.181;389979.2791;2019;1;0;;
69;Kreuzberg;Möckernstraße;ecke hornstr;;;129;129 Quercus cerris (aktiv);Zerr-Eiche;5817223.743;389997.4008;2019;1;0;;
70;Kreuzberg;Möckernstraße;ggü Tempodrom;;;171;171 Quercus cerris (aktiv);Zerr-Eiche;5818019.816;390166.8344;2019;1;0;;
71;Kreuzberg;Möckernstraße;gegenüber 111;;;52;52 Quercus cerris (aktiv);Zerr-Eiche;5817470.661;390001.4618;2019;1;0;;
72;Kreuzberg;Nostitzstraße;h 8-10;;;10;10 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5817071.619;390757.4984;2019;1;0;20;6
73;Kreuzberg;Nostitzstraße;h1-2;;;4;4 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5817176.632;390777.9091;2019;1;0;20;6
74;Kreuzberg;Nostitzstraße;h 5;;;7;7 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5817132.558;390769.4515;2019;1;0;20;6
75;Kreuzberg;Nostitzstraße;h6-7;;;8;8 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5817122.224;390767.5621;2019;1;0;20;6
76;Kreuzberg;Nostitzstraße;h 8;;;9;9 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5817083.845;390760.0588;2019;1;0;20;6
77;Kreuzberg;Pücklerstraße;;;;12;12 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;;;2019;1;0;;
78;Kreuzberg;Pücklerstraße;h 32;32;;24;24 Liquidambar spec. (aktiv);Amberbaum;5818002.147;393450.3147;2013;7;1;38;12
79;Kreuzberg;Pücklerstraße;34. vor der Markthalle;34;;28;28 Liquidambar spec. (aktiv);Amberbaum;;;2013;7;1;31;10
80;Kreuzberg;Ratiborstraße;h 14a;;;11;11 Quercus spec. (aktiv);Eiche;5816826.852;393929.0731;2019;1;0;17;5
81;Kreuzberg;Riemannstraße;haus 6;;;46;46 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;;;2019;1;0;;
82;Kreuzberg;Riemannstraße;haus 4;;;47;47 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;;;2019;1;0;;
83;Kreuzberg;Riemannstraße;haus 9;;;6;6 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;;;2019;1;0;;
84;Kreuzberg;Schöneberger Straße;hnr.1/2 hotel;;;2;2 Prunus spec. (aktiv);Kirsche;5818329.499;390121.8955;2019;1;0;19;6
85;Kreuzberg;Skalitzer Straße;kirche/8 am lausitzerplatz;;;158;158 Gymnocladus dioicus (aktiv);Geweihbaum;5817757.298;393498.7953;2019;1;;;
86;Kreuzberg;Skalitzer Straße;kirche/11 am lausitzerplatz;;;164;164 Crataegus monogyna 'Stricta' (aktiv);Säulen-Weiss-Dorn;5817757.434;393482.9242;2019;1;;;
87;Kreuzberg;Skalitzer Straße;hnr.112/2 ecke oranienstr;;;182;182 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5817735.894;393119.2456;2019;1;;;
88;Kreuzberg;Skalitzer Straße;;114;;187;187 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;;;2019;1;0;;
89;Kreuzberg;Skalitzer Straße;hnr.121/5;;;198;198 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5817738.425;393000.1089;2019;1;;;
90;Kreuzberg;Skalitzer Straße;hnr.126/4;;;215;215 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5817735.795;392853.2282;2019;1;0;;
91;Kreuzberg;Skalitzer Straße;hnr.127-128/2;;;219;219 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5817736.053;392825.7185;2019;1;;;
92;Kreuzberg;Skalitzer Straße;hnr.129/2;;;223;223 Gleditsia triacanthos 'Skyline' (aktiv);Gleditschie 'Skyline';5817737.187;392793.9927;2019;1;1;;
93;Kreuzberg;Skalitzer Straße;;132;;225;225 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;;;2019;1;0;;
94;Kreuzberg;Skalitzer Straße;;50/51;;81;81 Gymnocladus dioicus (aktiv);Geweihbaum;;;2019;1;0;;
95;Kreuzberg;Skalitzer Straße;hnr.54/1;;;84;84 Gymnocladus dioicus (aktiv);Geweihbaum;5817764.464;393752.3307;2019;1;1;141;45
96;Kreuzberg;Solmsstraße;h 20;;;22;22 Pyrus calleryana 'Chanticleer' (aktiv);Chinesische Wild-Birne;5816866.391;390850.6219;2013;7;1;32;10
97;Kreuzberg;Solmsstraße;h 33;;;37;37 Corylus colurna (aktiv);Baum-Hasel;5816769.832;390844.7379;2013;7;1;36;11
98;Kreuzberg;Trebbiner Straße;h 6;;;10;10 Platanus acerifolia (aktiv);Ahornblättrige Platane;5817733.277;389767.3737;2013;7;1;42;13
99;Kreuzberg;Urbanstraße;h 38;;;100;100 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;5816834.474;392427.8509;2013;7;1;25;8
100;Kreuzberg;Urbanstraße;h 47;;;108;108 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;5816774.983;392551.1952;2013;7;1;21;7
101;Kreuzberg;Urbanstraße;Ecke Graefestr.;;;163;163 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;5816827.895;392488.5747;2013;7;1;25;8
102;Kreuzberg;Urbanstraße;;;;205;205 Tilia intermedia 'Pallida' (aktiv);Kaiser-Linde;5817139.65;391752.8046;2013;7;1;23;7
103;Kreuzberg;Waldemarstraße;Haus Nr 27;27;;14;14 Gleditsia triacanthos (aktiv);Dreidorniger Lederhülsenbaum;5818255.791;392663.7752;2019;1;1;25;8
104;Kreuzberg;Waldemarstraße;Haus Nr 27;27;;14;14 Gleditsia triacanthos (aktiv);Dreidorniger Lederhülsenbaum;5818255.791;392663.7752;2019;1;1;25;8
105;Kreuzberg;Waldemarstraße;Haus Nr 35;35;;18;18 Unbekannt (aktiv);Unbekannt;5818232.721;392711.9253;2019;1;0;19;6
106;Kreuzberg;Waldemarstraße;Haus Nr 35;35;;18;18 Unbekannt (aktiv);Unbekannt;5818232.721;392711.9253;2019;1;0;19;6
107;Kreuzberg;Waldemarstraße;Haus Nr 112;;;65;65 Pyrus spec. (aktiv);Birne;5817925.347;393329.3473;2019;1;1;28;9
108;Kreuzberg;Waldemarstraße;Haus Nr 112;;;65;65 Pyrus spec. (aktiv);Birne;5817925.347;393329.3473;2019;1;1;28;9
109;Kreuzberg;Waldemarstraße;ecke manteuffelstrasse;104;;68;68 Juglans spec. (aktiv);Nuss;5817949.258;393283.504;2019;1;1;25;8
110;Kreuzberg;Waldemarstraße;ecke manteuffelstrasse;104;;68;68 Juglans spec. (aktiv);Nuss;5817949.258;393283.504;2019;1;1;25;8
111;Kreuzberg;Zeughofstraße;;;;23;23 Crataegus monogyna 'Stricta' (aktiv);Säulen-Weiss-Dorn;;;2019;1;0;;
112;Kreuzberg;Zossener Straße;ggü Joanithastr;;;5;5 Platanus spec. (aktiv);Platane;5817516.92;391047.269;2019;1;0;19;6
113;Kreuzberg;Zossener Straße;ggü Joanithastr;;;5;5 Platanus spec. (aktiv);Platane;5817516.92;391047.269;2019;1;0;19;6
