tree_id,time,uuid,amount,timestamp,username
_4sfhp2nsa,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_uw10r7468,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_gn64s9j7p,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_ff6x1fz1v,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_u8rsm7eh0,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_ck3xshljg,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_mn5gcxt1f,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_3twj7q1i7,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_r7wvulflg,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_coo2mpkmy,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_520o32u3y,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_1th6jc71g,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_sv8l8jlof,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_fpw62mtyp,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_eiqmzug5j,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_50cd1uzgx,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_gc9w71na3,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_jx1pn5miw,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_sfzra9yon,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_pbfaqc2c6,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_haexli091,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_6712ot8rx,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_9jg49l8qd,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_symimnmtb,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_ejp2lhgq0,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_n3yy748ne,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_svviiauzf,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_o65jr2n3o,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_asaabscd1,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_xcsr58uyv,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_47hrt4d8i,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_qbazkcbm9,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_47516582g,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_ky6dad7tb,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
_cvhkhkhql,2020-06-26 12:00:00.000000+00,b_w_Frie,200,2020-06-30 12:20:36.085494,Bezirk Friedrichshain-Kreuzberg
